canonical_keyword_x,TimePeriod,Search Volume,Impressions_SEO,Paid_Clicks,Paid_Impressions,Paid_CTR,Paid_Cost,Organic_Score,Paid_Score,Business_Label_Final
keyword_1,2,20,4,27,656,4.115853658536586,41.69,0.46408955364523,0.5845403163996667,Weak moderate – deprioritize but monitor
keyword_2,2,30,0,16,410,3.902439024390244,86.44,0.4383136930278433,0.5551882523013283,Weak moderate – deprioritize but monitor
keyword_3,2,140,35,0,44,0.0,0.0,0.6099710777543673,0.3184542728225911,Weak moderate – deprioritize but monitor
keyword_4,2,210,18,2,78,2.564102564102564,2.51,0.6137289229111583,0.4428542549757396,Weak moderate – deprioritize but monitor
keyword_5,2,140,3,7,174,4.022988505747127,28.98,0.5377490060054549,0.5129058774380915,Weak moderate – deprioritize but monitor
keyword_6,2,10,8,4,92,4.3478260869565215,9.85,0.4858789612413436,0.4868795715324121,Weak moderate – deprioritize but monitor
keyword_7,2,10,1,23,694,3.314121037463977,94.92,0.4103959406120476,0.5708506119630439,Weak moderate – deprioritize but monitor
keyword_8,2,20,2,2,21,9.523809523809524,8.27,0.450237706923545,0.4766677365315391,Weak moderate – deprioritize but monitor
keyword_9,2,10,7,8,69,11.594202898550725,35.52,0.484575797237245,0.5493705124646704,Weak moderate – deprioritize but monitor
keyword_10,2,10,0,18,2171,0.8291110087517274,25.26,0.4066393456327821,0.5404895581729634,Weak moderate – deprioritize but monitor
keyword_11,2,0,0,79,2769,2.853015529071867,455.26,0.3333333333333333,0.6336446471614959,Weak moderate – deprioritize but monitor
keyword_12,2,590,1,10,704,1.4204545454545454,50.57,0.5567497119598966,0.5129079913000434,Weak moderate – deprioritize but monitor
keyword_13,2,10,2,9,234,3.8461538461538463,59.75,0.4164345920335541,0.5247015137317245,Weak moderate – deprioritize but monitor
keyword_14,2,20,7,4,97,4.123711340206185,13.21,0.5101917776254815,0.4855797112271484,Weak moderate – deprioritize but monitor
keyword_15,2,70,3,25,689,3.62844702467344,78.47,0.4290555682856911,0.5773762144890346,Weak moderate – deprioritize but monitor
keyword_16,2,90,11,2,54,3.7037037037037033,4.38,0.5324028218570825,0.4506446256768384,Weak moderate – deprioritize but monitor
keyword_17,2,140,5,9,183,4.918032786885246,21.47,0.5016823942690668,0.5308190280969628,Weak moderate – deprioritize but monitor
keyword_18,2,170,0,5,315,1.5873015873015872,8.71,0.4905190353897655,0.4788458366673775,Weak moderate – deprioritize but monitor
keyword_19,2,0,1,4,9,44.44444444444444,21.72,0.3581425598915461,0.561199139005575,Weak moderate – deprioritize but monitor
